Wavelength,Alexa647,Alexa700,APC,FITC,PacificBlue,PE,PE_Cy7,Percp_Cy5_5,BV510,PE_Dazzle,BV605,APC_Cy7,BV421,Alexa488,DAPI,eFluor780,SB436,SB702
411,0,3.685955,0,4.957893,94.31772,3.491518712,0,61.0124597,96.455,4.718,94.284,4.303,94.565,2.688508,3.241333628,2.050643174,97.90731712,98.76500542
412,0,3.590523,0,5.056611,92.31864,3.279211493,0,62.2171463,95.026,4.506,89.861,4.184,91.078,2.716066,2.879222786,2.105023779,99.23000758,99.58812221
413,0,3.510482,0,4.844748,90.19481,3.086704948,0,63.344777,93.381,4.307,84.603,4.069,86.254,2.743624,2.495032016,2.120843591,100,100
414,0,3.433418,0,4.912332,87.71753,2.906298814,0,64.4183998,91.515,4.122,78.807,3.958,79.793,2.786733,2.132921175,2.122821068,99.72427732,99.90724879
415,0,3.377082,0,4.859176,85.20825,2.740193167,0,65.5040626,89.429,3.952,72.683,3.852,71.76,2.893225,1.810554206,2.154460693,99.37289081,99.23567955
416,0,3.294887,0,4.97384,82.29128,2.576287594,0,66.3626857,87.127,3.798,66.343,3.75,63.25,2.946373,1.558843012,2.213784989,98.50377677,97.8632662
417,0,3.231368,0,5.125713,79.327,2.433282732,0,67.2529567,84.62,3.66,59.866,3.653,55.194,3.044598,1.338043718,2.197965177,96.20117763,95.81038617
418,0,3.154406,0,5.231265,75.99675,2.292477944,0,68.1284357,81.923,3.54,53.314,3.56,47.968,3.13121,1.103996467,2.284974144,93.49885033,92.99516204
419,0,3.101046,0,5.307961,72.64796,2.194574616,0,68.9302988,79.06,3.438,46.762,3.472,41.487,3.200104,0.918525061,2.271131809,90.27060833,89.38481525
420,0,2.991144,0,5.565385,69.09508,2.076870614,0,69.7717218,76.059,3.354,40.328,3.388,35.471,3.322148,0.759549569,2.273109285,86.03729794,85.04690459
421,0,2.960462,0,5.482615,65.24119,2.007568257,0,70.6640568,72.954,3.288,34.151,3.309,29.768,3.391043,0.675645838,2.364073206,81.06093882,80.01683544
