Wavelength,Alexa Fluor 647,Alexa Fluor 647,Alexa Fluor 700,Alexa Fluor 700,APC ,APC ,FITC,FITC,Pacific Blue,Pacific Blue,"PE (R-PE, R-phycoerythrin)","PE (R-PE, R-phycoerythrin)",PE-Cy7,PE-Cy7,PerCP-Cy5.5,PerCP-Cy5.5
Wavelength,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission,Excitation,Emission
385,0,0,0,0,0,0,6.917054,0,77.55056,0,9.100609421,0,0,0,39.4096279,0
386,0,0,0,0,0,0,6.719619,0,79.37848,0,8.946604185,0,0,0,39.8213954,0
387,0,0,0,0,0,0,6.560153,0,81.44202,0,8.863001342,0,0,0,40.3002429,0
388,0,0,0,0,0,0,6.537372,0,83.29778,0,8.728796779,0,0,0,40.6782984,0
389,0,0,0,0,0,0,6.295135,0,85.20361,0,8.591292104,0,0,0,41.1378819,0
390,0,0,0,0,0,0,6.271595,0,86.93831,0,8.454887466,0,0,0,41.5620334,0
391,0,0,0,0,0,0,6.180471,0,88.59415,0,8.297582118,0,0,0,42.0381289,0
392,0,0,0,0,0,0,5.975442,0,90.0552,0,8.121576134,0,0,0,42.4698484,0
393,0,0,0,0,0,0,5.900265,0,91.56308,0,7.922469364,0,0,0,42.878864,0
394,0,0,0,0,0,0,5.680049,0,92.80149,0,7.755153675,0,0,0,43.4481833,0
395,0,0,0,0,0,0,5.581332,0,94.077,0,7.52205575,0,0,0,44.0171587,0
396,0,0,0,0,0,0,5.6193,0,95.25928,0,7.310848569,0,0,0,44.4884382,0
397,0,0,0,0,0,0,5.413512,0,96.36364,0,7.087540976,0,0,0,45.0632615,0
398,0,0,0,0,0,0,5.246452,0,97.34647,0,6.837832486,0,0,0,45.6838368,0
399,0,0,0,0,0,0,5.156087,0,98.13497,0,6.572723473,0,0,0,46.404172,0
400,0,0,4.605289,0,0,0,5.171275,0,98.74258,0,6.346115768,0,0,0,47.3776909,0
401,0,0,4.526377,0,0,0,5.094579,0,99.41095,0,6.082106792,0,0,0,48.4513137,0
402,0,0,4.443156,0,0,0,5.156087,0,99.7398,0,5.786196731,0,0,0,49.5287205,0
403,0,0,4.391951,0,0,0,5.011049,0,99.90677,0,5.512287418,0,0,0,50.5018954,0
404,0,0,4.292311,0,0,0,5.011049,0,99.99536,0,5.242778254,0,0,0,51.785358,0
405,0,0,4.20519,0,0,0,5.049017,0,99.87013,0,4.976569203,0,0,0,53.1723645,0
406,0,0,4.11181,0,0,0,5.269992,0,99.50372,0,4.689459442,0,0,0,54.461331,0
407,0,0,4.029615,0,0,0,5.080151,0,98.97449,0,4.456251513,0,0,0,55.9536013,0
408,0,0,3.93018,0,0,0,5.125713,0,98.24165,0,4.185642312,0,0,0,57.3168718,0
409,0,0,3.850038,0,0,0,5.003455,0,97.10575,0,3.946934196,0,0,0,58.5483904,0
410,0,0,3.767021,0,0,0,5.026996,0,95.82977,2.38872,3.731326865,0,0,0,59.807773,0
